year.harvest,complexity,reef.name,transect,quadrat,size.mm
2016,moderate,w2.200r1,120,10,51
2016,moderate,w2.200r1,120,10,64
2016,moderate,w2.200r1,120,10,46
2016,moderate,w2.200r1,120,10,66
2016,moderate,w2.200r1,120,10,25
2016,moderate,w2.200r1,120,10,46
2016,moderate,w2.200r1,120,10,66
2016,moderate,w2.200r1,120,10,41
2016,moderate,w2.200r1,120,10,62
2016,moderate,w2.200r1,120,10,42
2016,moderate,w2.200r1,120,10,63
2016,moderate,w2.200r1,120,10,68
2016,moderate,w2.200r1,120,10,67
2016,moderate,w2.200r1,120,10,57
2016,moderate,w2.200r1,120,10,49
2016,moderate,w2.200r1,120,10,39
2016,moderate,w2.200r1,120,10,38
2016,moderate,w2.200r1,120,10,24
2016,moderate,w2.200r1,120,10,29
2016,moderate,w2.200r1,120,10,59
2016,moderate,w2.200r1,120,10,30
2016,moderate,w2.200r1,120,10,41
2016,moderate,w2.200r1,120,10,44
2016,moderate,w2.200r1,120,10,26
2016,moderate,w2.200r1,120,10,38
2016,moderate,w2.200r1,120,10,69
2016,moderate,w2.200r1,120,10,56
2016,moderate,w2.200r1,120,10,8
2016,moderate,w2.200r1,120,10,42
2016,moderate,w2.200r1,120,10,47
2016,moderate,w2.200r1,120,10,38
2016,moderate,w2.200r1,120,10,16
2016,moderate,w2.200r1,120,10,26
2016,moderate,w2.200r1,120,10,29
2016,moderate,w2.200r1,120,10,46
2016,moderate,w2.200r1,120,10,60
2016,moderate,w2.200r1,120,10,34
2016,moderate,w2.200r1,120,10,43
2016,moderate,w2.200r1,120,10,44
2016,moderate,w2.200r1,120,10,43
2016,moderate,w2.200r1,120,10,53
2016,moderate,w2.200r1,120,10,54
2016,moderate,w2.200r1,120,10,47
2016,moderate,w2.200r1,120,10,19
2016,moderate,w2.200r1,120,10,33
2016,moderate,w2.200r1,120,10,74
2016,moderate,w2.200r1,120,10,58
2016,moderate,w2.200r1,120,10,25
2016,moderate,w2.200r1,120,10,26
2016,moderate,w2.200r1,120,10,55
2016,moderate,w2.200r1,120,10,29
2016,moderate,w2.200r1,120,10,43
2016,moderate,w2.200r1,120,10,42
2016,moderate,w2.200r1,120,10,32
2016,moderate,w2.200r1,120,10,39
2016,moderate,w2.200r1,120,10,18
