day.harv,month.harv,year.harv,day.proc,month.proc,year.proc,Site,region,distance,reef,shelled,site,reef.name,reef.type,transect,quadrat,sample.wt,total.adults,total.spat,total.newg,total.oldg,adult.per.mass,spat.per.mass
20,7,2016,20,7,2016,apalachicola,west,2,2,no,w2,w2r2,subtidal,0,10,2.47,0,0,1,1,0,0
20,7,2016,20,7,2016,apalachicola,west,2,2,no,w2,w2r2,subtidal,120,15,1.8,0,0,0,1,0,0
20,7,2016,20,7,2016,apalachicola,west,2,2,no,w2,w2r2,subtidal,120,20,1.36,0,0,0,1,0,0
20,7,2016,20,7,2016,apalachicola,west,2,2,no,w2,w2r2,subtidal,120,10,1.5,0,1,1,2,0,0.666666667
20,7,2016,20,7,2016,apalachicola,west,2,2,no,w2,w2r2,subtidal,240,20,1.09,0,1,0,1,0,0.917431193
20,7,2016,20,7,2016,apalachicola,west,2,2,no,w2,w2r2,subtidal,240,5,0.99,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,2,no,w2,w2r2,subtidal,240,15,1.09,0,0,0,1,0,0
20,7,2016,20,7,2016,apalachicola,west,2,2,no,w2,w2r2,subtidal,240,10,1.09,0,1,0,0,0,0.917431193
20,7,2016,20,7,2016,apalachicola,west,2,2,no,w2,w2r2,subtidal,0,15,1.02,0,1,0,0,0,0.980392157
20,7,2016,20,7,2016,apalachicola,west,2,2,no,w2,w2r2,subtidal,0,5,2.04,0,1,0,0,0,0.490196078
20,7,2016,20,7,2016,apalachicola,west,2,2,no,w2,w2r2,subtidal,0,20,0.85,0,0,1,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,3,no,w2,w2r3,subtidal,0,20,2.22,0,1,1,1,0,0.45045045
20,7,2016,20,7,2016,apalachicola,west,2,3,no,w2,w2r3,subtidal,120,5,1.66,0,1,0,1,0,0.602409639
20,7,2016,20,7,2016,apalachicola,west,2,3,no,w2,w2r3,subtidal,120,10,2.76,0,1,0,2,0,0.362318841
20,7,2016,20,7,2016,apalachicola,west,2,3,no,w2,w2r3,subtidal,120,15,1.01,0,2,1,0,0,1.98019802
20,7,2016,20,7,2016,apalachicola,west,2,3,no,w2,w2r3,subtidal,0,5,1.27,0,0,1,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,3,no,w2,w2r3,subtidal,240,20,0.77,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,3,no,w2,w2r3,subtidal,0,15,2.15,1,0,0,2,0.465116279,0
20,7,2016,20,7,2016,apalachicola,west,2,3,no,w2,w2r3,subtidal,240,15,1.17,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,3,no,w2,w2r3,subtidal,240,5,1.63,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,3,no,w2,w2r3,subtidal,120,20,0.66,0,2,0,0,0,3.03030303
20,7,2016,20,7,2016,apalachicola,west,2,3,no,w2,w2r3,subtidal,0,10,1.84,0,6,3,1,0,3.260869565
20,7,2016,20,7,2016,apalachicola,west,2,3,no,w2,w2r3,subtidal,240,10,2.05,0,0,0,0,0,0
